DATE,LEU0254690700A
2000-01-01,181
2001-01-01,172
2002-01-01,135
2003-01-01,131
2004-01-01,145
2005-01-01,133
2006-01-01,139
2007-01-01,124
2008-01-01,105
2009-01-01,91
2010-01-01,96
2011-01-01,83
2012-01-01,100
2013-01-01,106
2014-01-01,84
2015-01-01,93
2016-01-01,104
2017-01-01,89
2018-01-01,91
2019-01-01,82
2020-01-01,82
2021-01-01,79
2022-01-01,92
